html_url,id,names.types.ror_display,status,types,names.types.alias,names.types.label,names.types.acronym,links.type.website,links.type.wikipedia,domains,established,external_ids.type.fundref.all,external_ids.type.fundref.preferred,external_ids.type.grid.all,external_ids.type.grid.preferred,external_ids.type.isni.all,external_ids.type.isni.preferred,external_ids.type.wikidata.all,external_ids.type.wikidata.preferred,locations.geonames_id
https://github.com/ror-community/ror-updates/issues/13246,https://ror.org/01bc41c65,replace==Dětský domov a Mateřská škola Beroun*cs,,,delete,replace==Dětský domov a Mateřská škola Beroun*cs,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/13247,https://ror.org/04hp42s89,,,,delete==International Politics and Economics*en,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/13248,https://ror.org/04hhxc122,,,,replace==Státní výzkumný ústav ochrany materiálu*cs; SVÚOM s.r.o.*cs,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/13249,https://ror.org/04bsgk835,,,,,"add==Ekologické služby, s.r.o*cs",,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/13250,https://ror.org/009ps8477,,,,,replace==North Bohemian Museum in Liberec*en; Severočeské muzeum v Liberci*cs,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/13251,https://ror.org/0111dmn28,,,,,"replace==Czech Office for Surveying, Mapping and Cadastre*en; Český úřad zeměměřický a katastrální*cs",,replace==https://www.cuzk.cz,,add==cuzk.cz,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/13252,https://ror.org/04d087g06,,,,,replace==Association of Engineering Technology*en; Svaz strojírenské technologie*cs,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/13253,https://ror.org/04rgg2p32,,,,,,delete==o.p.s,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/13254,https://ror.org/016emmf09,replace==Pan-European University*en,,,add==College of Information Management and Business Administration*en; Vysoká škola podnikání a práva*cs,"replace==Pan-European University*en; Panevropská univerzita, a.s.*cs",add==PEUNI,replace==https://www.peuni-international.eu,,add==peuni-international.eu,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/13255,https://ror.org/00hjhrf26,,,,add==Vysoká škola PRIGO*cs,"add==Vysoká škola PRIGO, z. ú.*cs",,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/13257,https://ror.org/03bp0k446,,,,add==Pražská vysoká škola psychosociálních studií*cs,"add==Pražská vysoká škola psychosociálních studií, s.r.o.*cs",add==PVŠPS*cs,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/13262,https://ror.org/04vmke174,,replace==inactive,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/13265,https://ror.org/038483r84,,,,,,,,,,,,,,,,,,,add==3173435
https://github.com/ror-community/ror-updates/issues/13267,https://ror.org/01b40r146,,,,,add==De Nationale Geologiske Undersøgelser for Danmark og Grønland*da,,replace==https://www.geus.dk,,add==geus.dk,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/13271,https://ror.org/053kjm920,,,,add==UniCatólica*es,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/13273,https://ror.org/0191b3351,,,,,,,replace==https://www.vid.no,,add==vid.no,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/13274,https://ror.org/057er4c39,,,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/13284,https://ror.org/01b436806,,,,add==UMR CIRED*fr,replace==CIRED*fr; Centre international de recherche sur l'environnement et le développement*fr;Centre for International Research on Environment and Development*en,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/13285,https://ror.org/03mj14b52,replace==Peuplements végétaux et bioagresseurs en milieu tropical*fr,,,add==UMR Peuplements végétaux et bioagresseurs en milieu tropical*fr,replace==Peuplements végétaux et bioagresseurs en milieu tropical*fr; Plant Communities and Biological Invaders in Tropical Environments*en,replace==UMR PVBMT*fr; PVBMT*fr,replace==https://umr-pvbmt.cirad.fr,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/13286,https://ror.org/02banhz78,"replace==Diversité, adaptation et développement des plantes*fr",,,delete,"replace==Diversité, adaptation et développement des plantes*fr; Diversity-Adaptation-Development of Plants*en",add==UMR DIADE,replace==https://www.cirad.fr/nous-connaitre/unites-de-recherche/diade,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/13293,https://ror.org/01s0v4q65,replace==Governmental Agency for IT Development*en,,,add==Governmental Information Technology Development Agency*en,replace==Governmental Agency for IT Development*en,,,,add==kifu.gov.hu,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/13300,https://ror.org/05591te55,,,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/13297,https://ror.org/00n6tv709,replace==Guidedwave (United States)*en,,,"add==FBS*en; FBS, Inc. d.b.a. Guidedwave*en","replace==Guidedwave (United States)*en; Guidedwave*en; FBS, Inc.*en",,replace==https://www.gwultrasonics.com,,add==gwultrasonics.com,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/13302,https://ror.org/021a2zz52,,,,,,,,,,,,,,,,,,,replace==1818446
https://github.com/ror-community/ror-updates/issues/13314,https://ror.org/023pm6532,,,,,,,replace==https://www.agu.edu.vn,,add==agu.edu.vn,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/13318,https://ror.org/02xz6bf62,,,,delete,replace==Česká geologická služba*cs,,replace==https://cgs.gov.cz,,add==cgs.gov.cz,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/13326,https://ror.org/05jk8e518,replace==Universidad de Los Lagos*es,,,add==University of Los Lagos*en,replace==Universidad de Los Lagos*es,,replace==https://www.ulagos.cl,,add==ulagos.cl,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/13327,https://ror.org/03dcxwy38,replace==Taiwan Space Agency*en,,,add==National Space Organization*en,replace==Taiwan Space Agency*en; 國家太空中心*zh,,replace==https://www.tasa.org.tw,,add==tasa.org.tw,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/13328,https://ror.org/04zxf4256,replace==General Tire (United States)*en,,,"replace==The General Tire & Rubber Company*en; General Tire & Rubber Company*en; General Tire and Rubber Company*en; GenCorp*en; GenCorp, Inc.*en",replace==General Tire (United States)*en; General Tire*en,,replace==https://www.continental.com/en-us/,replace==https://en.wikipedia.org/wiki/General_Tire,,,,,,,delete,delete,replace==Q369128,replace==Q369128,replace==4578977
https://github.com/ror-community/ror-updates/issues/13332,https://ror.org/0512cxv65,,,,,,,replace==https://seikousa.com,,add==seikousa.com,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/13351,https://ror.org/000nwmh60,,replace==inactive,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/13350,https://ror.org/04qvpkd07,replace==Harris (United States)*en,,,add==Harris Corporation*en,replace==Harris (United States)*en; Harris*en,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/13349,https://ror.org/01qwmf693,,replace==withdrawn,,,,,,,,,,,,,,,,,
