html_url,id,names.types.ror_display,status,types,names.types.alias,names.types.label,names.types.acronym,links.type.website,links.type.wikipedia,domains,established,external_ids.type.fundref.all,external_ids.type.fundref.preferred,external_ids.type.grid.all,external_ids.type.grid.preferred,external_ids.type.isni.all,external_ids.type.isni.preferred,external_ids.type.wikidata.all,external_ids.type.wikidata.preferred,city,country,locations.geonames_id,ror_id,parent,child,related,successor,predecessor
,,Global Reciprocal Colleges*en,active,education,,Global Reciprocal Colleges*en,GRC*en,https://grc.edu.ph,,grc.edu.ph,2007,,,,,,,,,Caloocan,Philippines,1720151,https://ror.org/0464dc658,,,,,
,,Southville International School and Colleges*en,active,education,Southville International School*en,Southville International School and Colleges*en,SISC*en,https://www.southville.edu.ph,,southville.edu.ph,1990,,,,,0000 0004 0456 4727,0000 0004 0456 4727,Q7571109,Q7571109,Las Piñas,Philippines,1707174,https://ror.org/01k3x6c46,,,,,
,,Pacific InterContinental College*en,active,education,,Pacific InterContinental College*en,PIC*en,http://www.pic.edu.ph,,pic.edu.ph,,,,,,,,,,Las Piñas,Philippines,1707174,https://ror.org/03kv0zq30,,,,,
,,South SEED-LPDH College*en,active,education,South SEED LPDH College*en,South SEED-LPDH College*en,SSLC*en,https://sslc.edu.ph,,sslc.edu.ph,2010,,,,,,,,,Las Piñas,Philippines,1707174,https://ror.org/00v07h726,,,,,
,,Southville International School Affiliated with Foreign Universities*en,active,education,Southville International School*en,Southville International School Affiliated with Foreign Universities*en,SISFU*en,https://sisfu.edu.ph,,sisfu.edu.ph,1997,,,,,,,,,Las Piñas,Philippines,1707174,https://ror.org/03zgmt603,,,,,
,,CAP College Foundation Inc.*en,active,education,"CAP College*en; Correspondence Accreditation Program for College Foundation, Inc.*en",CAP College Foundation Inc.*en; CAP College Foundation*en,,https://capcollege.com.ph,,capcollege.com.ph,1988,,,,,,,,,Makati City,Philippines,1703417,https://ror.org/040pxzz42,,,,,
,,AMA School of Medicine*en,active,education,,AMA School of Medicine*en,AMASOM*en,https://amaschoolofmedicine.amaes.edu.ph,,amaschoolofmedicine.amaes.edu.ph,2008,,,,,,,Q86751335,Q86751335,Makati City,Philippines,1703417,https://ror.org/05c18z932,,,,,
,,Arellano University-Malabon*en,active,education,AU Malabon*en,Arellano University-Malabon*en,,https://arellano.edu.ph,,,,,,,,,,,,Malabon,Philippines,1703320,https://ror.org/03tj6t838,https://ror.org/0173r0e90,,,,
,,Don Bosco Technical College*en,active,education,Don Bosco Technical College Mandaluyong*en;Don Bosco Mandaluyong*en,Don Bosco Technical College*en,DBTC*en,https://dbmanda.one-bosco.org,,dbmanda.one-bosco.org,1953,,,,,,,,,Mandaluyong,Philippines,1701966,https://ror.org/03bt55032,,,,,
,,Our Lady of Guadalupe Colleges*en,active,education,,Our Lady of Guadalupe Colleges*en,OLGC*en,https://olgc.edu.ph,,olgc.edu.ph,,,,,,,,,,Mandaluyong,Philippines,1701966,https://ror.org/03r9m1k75,,,,,
,,"GK College of Business, Arts, and Technology*en",active,education,GK College*en,"GK College of Business, Arts, and Technology*en",,https://www.gkphilippines.com/gkcollege,,,2018,,,,,,,,,Mandaluyong,Philippines,1701966,https://ror.org/03v2hk883,,,,,
,,Air Link International Aviation College*en,active,education,,Air Link International Aviation College*en,ALIAC*en,https://aliac.edu.ph,,aliac.edu.ph,1982,,,,,,,,,Pasay,Philippines,1694611,https://ror.org/050xhj413,,,,,
,,Chiang Kai Shek College*en,active,education,,Chiang Kai Shek College*en; 菲律濱中正學院*zh,CKSC*en,https://www.cksc.edu.ph,,cksc.edu.ph,1939,,,,,,,Q5095191,Q5095191,Manila,Philippines,1701668,https://ror.org/05xc26x43,,,,,
,,Colegio de San Juan de Letran*es,active,education,Colegio de San Juan de Letran Manila*en;Letran Manila*en;Letran*en,Colegio de San Juan de Letran*es,CSJL*es,https://letran.edu.ph,,letran.edu.ph,1620,,,,,,,,,Manila,Philippines,1701668,https://ror.org/03fh53y61,,,,,
,,Concordia College*en,active,education,Concordia College Manila*en,Concordia College*en; Colegio de la Inmaculada Concepcion de la Concordia*es,,https://laconcordia.edu.ph,,laconcordia.edu.ph,1868,,,,,,,,,Manila,Philippines,1701668,https://ror.org/04v6e1b85,,,,,
,,La Consolacion College Manila*en,active,education,,La Consolacion College Manila*en,LCCM*en,https://www.lccm.edu.ph,,lccm.edu.ph,1902,,,,,,,Q6461955,Q6461955,Manila,Philippines,1701668,https://ror.org/00a1xcb06,,,,,
,,Manila Theological College*en,active,education,,Manila Theological College*en,MTC*en,http://www.mtcslshs.edu.ph,,mtcslshs.edu.ph,1991,,,,,,,,,Manila,Philippines,1701668,https://ror.org/02mbrsp04,,,,,
,,The National Teachers College*en,active,education,National Teachers College*en,The National Teachers College*en,NTC*en,http://www.ntc.edu.ph,,ntc.edu.ph,1928,,,,,0000 0004 0456 505X,0000 0004 0456 505X,Q6978847,Q6978847,Manila,Philippines,1701668,https://ror.org/04k2fh288,,,,,
,,University of Perpetual Help System Manila*en,active,education,Perpetual Help College of Manila*en,University of Perpetual Help System Manila*en,,https://manila.uphsl.edu.ph,,manila.uphsl.edu.ph,1968,,,,,,,Q7896107,Q7896107,Manila,Philippines,1701668,https://ror.org/03vp87n48,,,,,
,,Philippine College of Criminology*en,active,education,Plaridel Educational Institution*en,Philippine College of Criminology*en,PCCR*en,https://www.pccr.edu.ph,,pccr.edu.ph,1954,,,,,,,,,Manila,Philippines,1701668,https://ror.org/021dvry40,,,,,
,,Philippine College of Health Sciences*en,active,education,,Philippine College of Health Sciences*en,PCHS*en,http://www.pchsmanila.edu.ph,,pchsmanila.edu.ph,1993,,,,,,,Q7185023,Q7185023,Manila,Philippines,1701668,https://ror.org/00dgk6h30,,,,,
,,Philippine School of Business Administration-Manila*en,active,education,,Philippine School of Business Administration-Manila*en,PSBA*en,https://www.psba.edu,,psba.edu,1963,,,,,,,,,Manila,Philippines,1701668,https://ror.org/04pty3153,,,,,
,,San Sebastian College-Recoletos*en,active,education,San Sebastian College-Recoletos de Manila*en,San Sebastian College-Recoletos*en,SSC-R*en,https://sscrmnl.edu.ph,,sscrmnl.edu.ph,1941,,,,,,,Q3299572,Q3299572,Manila,Philippines,1701668,https://ror.org/02mybwx14,,,,,
,,Santa Isabel College of Manila*en,active,education,,Santa Isabel College of Manila*en; Santa Isabel College*en,,http://www.santaisabel.edu.ph,,santaisabel.edu.ph,1632,,,,,,,Q7419621,Q7419621,Manila,Philippines,1701668,https://ror.org/03ms5kn58,,,,,
,,UST Angelicum College*en,active,education,Angelicum College*en; University of Santo Tomas-Angelicum College*en,UST Angelicum College*en,,https://www.ustangelicum.edu.ph,,ustangelicum.edu.ph,1972,,,,,0000 0004 1791 8379,0000 0004 1791 8379,,,Quezon City,Philippines,1692192,https://ror.org/04y8qw778,https://ror.org/00d25af97,,,,
,,STI College Sta. Mesa*en,active,education,STI College-Shaw*en,STI College Sta. Mesa*en,,https://www.sti.edu/campuses/stamesa,,,,,,,,,,,,Manila,Philippines,1701668,https://ror.org/048pm6066,,,,,
,,Jesus Reigns Christian College*en,active,education,Jesus Reigns Christian College Foundation*en,Jesus Reigns Christian College*en,JRCC*en,https://www.jrccmanila.edu.ph/,,jrccmanila.edu.ph,2004,,,,,,,,,Manila,Philippines,1701668,https://ror.org/04jj8rj26,,,,,
,,FEU Institute of Technology*en,active,education,FEU Tech*en; FEU-East Asia College*en,FEU Institute of Technology*en,,https://www.feutech.edu.ph,,feutech.edu.ph,1992,,,,,,,,,Manila,Philippines,1701668,https://ror.org/00pq32363,https://ror.org/045dhqd98,,,,
,,Makati Science Technological Institute of the Philippines*en,active,education,,Makati Science Technological Institute of the Philippines*en,MSTIP*en,https://mstip.edu.ph,,mstip.edu.ph,,,,,,,,,,Manila,Philippines,1701668,https://ror.org/01edn5n04,,,,,
,,FEU Roosevelt Marikina*en,active,education,Roosevelt College-Marikina*en; Roosevelt College Marikina*en,FEU Roosevelt Marikina*en,,https://feuroosevelt.edu.ph/feu-roosevelt-marikina/,,feuroosevelt.edu.ph,1967,,,,,,,,,Marikina City,Philippines,1700925,https://ror.org/01t7z2k78,,,https://ror.org/045dhqd98,,
,,Lyceum of Alabang*en,active,education,,Lyceum of Alabang*en,,https://lyceumalabang.edu.ph,,lyceumalabang.edu.ph,2003,,,,,,,,,City of Muntinlupa,Philippines,1699076,https://ror.org/03jb7f043,,,,,
,,FEU Alabang*en,active,education,,FEU Alabang*en; Far Eastern University - Alabang*en,,https://feualabang.edu.ph,,feualabang.edu.ph,2016,,,,,,,,,City of Muntinlupa,Philippines,1699076,https://ror.org/02qz9ks50,https://ror.org/045dhqd98,,,,
