html_url,id,names.types.ror_display,status,types,names.types.alias,names.types.label,names.types.acronym,links.type.website,links.type.wikipedia,domains,established,external_ids.type.fundref.all,external_ids.type.fundref.preferred,external_ids.type.grid.all,external_ids.type.grid.preferred,external_ids.type.isni.all,external_ids.type.isni.preferred,external_ids.type.wikidata.all,external_ids.type.wikidata.preferred,city,country,locations.geonames_id,ror_id,parent,child,related,successor,predecessor
,,Tianjin Vocational College of Bioengineering*en,,education,,天津生物工程职业技术学院*zh; Tianjin Vocational College of Bioengineering*en,,,,,,,,,,,,Q112676143,Q112676143,Tianjin,China,1792947,,,,,,
,,Tianjin Maritime College*en,,education,,天津海运职业学院*zh; Tianjin Maritime College*en,,https://www.tjmc.edu.cn/,,tjmc.edu.cn,2006,,,,,,,Q112676145,Q112676145,Tianjin,China,1792947,,,,,,
,,Tianjin Broadcasting TV and Film Institute*en,,education,,天津广播影视职业学院*zh; Tianjin Broadcasting TV and Film Institute*en,,http://www.tjgbys.com/,,tjgbys.com,2009,,,,,,,Q112676146,Q112676146,Tianjin,China,1792947,,,,,,
,,Tianjin Vocational College of Sports*en,,education,,天津体育职业学院*zh; Tianjin Vocational College of Sports*en,,http://www.tjvcs.cn/,,tjvcs.cn,2016,,,,,,,Q56272212,Q56272212,Tianjin,China,1792947,,,,,,
,,Tianjin Binhai Vocational Institute of Automotive Engineering*en,,education,,天津滨海汽车工程职业学院*zh; Tianjin Binhai Vocational Institute of Automotive Engineering*en,,https://www.tqzyxy.com,,tqzyxy.com,2017,,,,,,,Q112676147,Q112676147,Tianjin,China,1792947,,,,,,
,,Hebei University of Water Resources and Electric Engineering*en,,education,河北工程技术高等专科学校; Hebei Engineering and Technical College,河北水利电力学院*zh; Hebei University of Water Resources and Electric Engineering*en,,https://www.hbwe.edu.cn/,,hbwe.edu.cn,1952,,,,,,,Q50374662,Q50374662,Cangzhou,China,1816080,,,,,,
,,Hebei Minzu Normal University*en,,education,Hebei Normal University for Nationalities; 承德民族师范高等专科学校,河北民族师范学院*zh; Hebei Minzu Normal University*en,,https://www.hbun.edu.cn/,,hbun.edu.cn,1907,,,,,,,Q55708817,Q55708817,Chengde,China,2038087,,,,,,
,,National Police University for Criminal Justice*en,,education,,中央司法警官学院*zh; National Police University for Criminal Justice*en,,https://www.cicp.edu.cn,,cicp.edu.cn,1956,,,,,0000 0001 0649 955X,0000 0001 0649 955X,Q10875050,Q10875050,Baoding,China,1816971,,,,,,
,,Hebei Institute of Communications*en,,education,石家庄影视艺术职业学院; 精英影视艺术职业学院,河北传媒学院*zh; Hebei Institute of Communications*en,河传,https://www.hebic.cn/,,hebic.cn,2000,,,,,0000 0004 1796 1430,0000 0004 1796 1430,Q11141280,Q11141280,Shijiazhuang,China,1795270,,,,,,
,,Hebei College of Engineering and Technology*en,,education,石家庄城市职业学院; 石家庄法商职业学院; 河北安邦法律专修学院,河北工程技术学院*zh; Hebei College of Engineering and Technology*en,,https://www.hbgcjsxy.com,,hbgcjsxy.com,1997,,,,,,,Q112676148,Q112676148,Shijiazhuang,China,1795270,,,,,,
,,Hebei Academy of Fine Arts*en,,education,石家庄东方美术职业学院; 河北美院,河北美术学院*zh; Hebei Academy of Fine Arts*en,,https://www.hbafa.edu.cn/,,hbafa.edu.cn,2002,,,,,,,Q111307813,Q111307813,石家庄市,China,1795270,,,,,,
,,Hebei College of Science and Technology*en,,education,,河北科技学院*zh; Hebei College of Science and Technology*en,,http://www.hbkjxy.cn/,,hbkjxy.cn,2011,,,,,,,Q112676149,Q112676149,Baoding,China,1816971,,,,,,
,,Hebei International Studies University*en,,education,Hebei Foreign Studies University; 石家庄外语翻译职业学院,河北外国语学院*zh; Hebei International Studies University*en,,https://hisu.edu.cn/,,hisu.edu.cn,2012,,,,,,,Q18165265,Q18165265,Shijiazhuang,China,1795270,,,,,,
,,"Industrial and Commercial College, Hebei University*en",,education,,"河北大学工商学院*zh; Industrial and Commercial College, Hebei University*en",,http://www.hicc.cn/,,hicc.cn,2001,,,,,,,Q15930598,Q15930598,Baoding,China,1816971,,,,https://ror.org/01p884a79,,
,,"Qinggong College, North China University of Science and Technology*en",,education,河北联合大学轻工学院; 河北理工大学轻工学院,"华北理工大学轻工学院*zh; Qinggong College, North China University of Science and Technology*en",,https://www.qgxy.cn,,qgxy.cn,2000,,,,,,,Q15921133,Q15921133,Tangshan,China,1793346,,https://ror.org/04z4wmb81,,,,
,,Hebei Vocational University of Industry and Technology*en,,education,河北科技大学理工学院,河北工业职业技术大学*zh; Hebei Vocational University of Industry and Technology*en,,https://www.hbcit.edu.cn/,,hbcit.edu.cn,2021,,,,,,,Q109413365,Q109413365,Shijiazhuang,China,1795270,,,,,,
,,Huihua College of Hebei Normal University*en,,education,,河北师范大学汇华学院*zh; Huihua College of Hebei Normal University*en,,http://huihua.hebtu.edu.cn,,huihua.hebtu.edu.cn,2001,,,,,,,Q112676150,Q112676150,Shijiazhuang,China,1795270,,,,https://ror.org/004rbbw49,,
,,"College of Economics and Management, Hebei University of Economics and Business*en",,education,,"河北经贸大学经济管理学院*zh; College of Economics and Management, Hebei University of Economics and Business*en",,,,,,,,,,,,Q112676151,Q112676151,Shijiazhuang,China,1795270,,,,https://ror.org/05j1kc284,,
,,Clinical College of Hebei Medical University*en,,education,,河北医科大学临床学院*zh; Clinical College of Hebei Medical University*en,,,,,2001,,,,,,,Q112676152,Q112676152,Shijiazhuang,China,1795270,,,,https://ror.org/04eymdx19,,
,,Hebei Vocational University of Technology and Engineering*en,,education,河北科工大,河北科技工程职业技术大学*zh; Hebei Vocational University of Technology and Engineering*en,,https://www.hevute.edu.cn,,hevute.edu.cn,2021,,,,,,,Q15928329,Q15928329,Xingtai,China,1788927,,,,,,
,,Hebei University of Engineering Kexin College*en,,education,,河北工程大学科信学院*zh; Hebei University of Engineering Kexin College*en,,https://kexin.hebeu.edu.cn,,kexin.hebeu.edu.cn,2001,,,,,,,Q112676153,Q112676153,Handan,China,1808963,,,,https://ror.org/036h65h05,,
,,Liren College of Yanshan University*en,,education,"Liren College, Yanshan University",燕山大学里仁学院*zh; Liren College of Yanshan University*en,,https://stc.ysu.edu.cn/,,stc.ysu.edu.cn,2001,,,,,,,Q112671866,Q112671866,Qinhuangdao,China,1797595,,,,,,
,,Shijiazhuang Tiedao University Sifang College*en,,education,,石家庄铁道大学四方学院*zh; Shijiazhuang Tiedao University Sifang College*en,,https://www.stdusfc.edu.cn,,stdusfc.edu.cn,2001,,,,,,,Q112676154,Q112676154,Shijiazhuang,China,1795270,,,,,,
,,Huaxin College of Hebei GEO University*en,,education,,河北地质大学华信学院*zh; Huaxin College of Hebei GEO University*en,,https://www.hguhx.edu.cn,,hguhx.edu.cn,,,,,,,,Q112676155,Q112676155,Shijiazhuang,China,1795270,,,,https://ror.org/013x4kb81,,
,,"Modern Institute of Technology, AUH*en",,education,河北农业大学知行学院; 现科院,"河北农业大学现代科技学院*zh; Modern Institute of Technology, AUH*en",,http://xianke.hebau.edu.cn/,,xianke.hebau.edu.cn,2001,,,,,,,Q15927691,Q15927691,Baoding,China,1816971,,,,https://ror.org/009fw8j44,,
,,North China University of Science and Technology Jitang College*en,,education,河北联合大学冀唐学院; 华北煤炭医学院冀唐学院,华北理工大学冀唐学院*zh; North China University of Science and Technology Jitang College*en,,http://jtxy.ncst.edu.cn,,jtxy.ncst.edu.cn,2001,,,,,,,Q112676156,Q112676156,Tangshan,China,1793346,,https://ror.org/04z4wmb81,,,,
,,Baoding University of Technology*en,,education,中国地质大学长城学院,保定理工学院*zh; Baoding University of Technology*en,,http://www.cuggw.com,,cuggw.com,2005,,,,,,,Q112676157,Q112676157,Baoding,China,1816971,,,,,,
,,Beijing University of Chinese Medicine Dongfang College*en,,education,,北京中医药大学东方学院*zh; Beijing University of Chinese Medicine Dongfang College*en,,https://www.bucmdf.edu.cn,,bucmdf.edu.cn,2005,,,,,,,Q112676160,Q112676160,Langfang,China,1804540,,,,https://ror.org/05damtm70,,
,,Cangzhou Jiaotong College*en,,education,北京交通大学海滨学院; Beijing Jiaotong University Haibin College; Haibin College of Beijing Jiaotong University,沧州交通学院*zh; Cangzhou Jiaotong College*en,,https://www.czjtu.edu.cn/,,czjtu.edu.cn,2008,,,,,,,Q15926191,Q15926191,Cangzhou,China,1816080,,,,,,
,,Hebei Oriental University*en,,education,廊坊东方职业技术学院,河北东方学院*zh; Hebei Oriental University*en,,https://www.hbdfxy.cn/,,hbdfxy.cn,,,,,,,,Q112676161,Q112676161,Langfang,China,1804540,,,,,,
,,Zhangjiakou University*en,,education,张家口教育学院,张家口学院*zh; Zhangjiakou University*en,,https://www.zjku.edu.cn/,,zjku.edu.cn,2013,,,,,,,Q55708787,Q55708787,Zhangjiakou,China,2033196,,,,,,
,,Tangshan Polytechnic University*en,,education,唐山工业职业技术学院,唐山工业职业技术大学*zh; Tangshan Polytechnic University*en,,https://www.tsgzy.edu.cn/,,tsgzy.edu.cn,1975,,,,,,,Q112676173,Q112676173,Tangshan,China,1793346,,,,,,
,,Shijiazhuang University of Applied Technology*en,,education,石家庄开放大学,石家庄职业技术学院*zh; Shijiazhuang University of Applied Technology*en,,http://www.sjzpt.edu.cn/,,sjzpt.edu.cn,1984,,,,,,,Q112676162,Q112676162,Shijiazhuang,China,1795270,,,,,,
,,Zhangjiakou Vocational and Technical College*en,,education,,张家口职业技术学院*zh; Zhangjiakou Vocational and Technical College*en,,https://www.zjkptc.edu.cn/,,zjkptc.edu.cn,1985,,,,,,,Q110110263,Q110110263,Zhangjiakou,China,2033196,,,,,,
,,Hebei Software Institute*en,,education,,河北软件职业技术学院*zh; Hebei Software Institute*en,,https://www.hbsi.edu.cn,,hbsi.edu.cn,1973,,,,,0000 0004 1789 9921,0000 0004 1789 9921,Q112676163,Q112676163,Baoding,China,1816971,,,,,,
