html_url,id,names.types.ror_display,status,types,names.types.alias,names.types.label,names.types.acronym,links.type.website,links.type.wikipedia,domains,established,external_ids.type.fundref.all,external_ids.type.fundref.preferred,external_ids.type.grid.all,external_ids.type.grid.preferred,external_ids.type.isni.all,external_ids.type.isni.preferred,external_ids.type.wikidata.all,external_ids.type.wikidata.preferred,city,country,locations.geonames_id,parent_relationships,comment
,https://ror.org/0497rkw71,Centro de Estudos de Religiões e Culturas Cardeal Höffner*pt,inactive,education,Universidade Católica Portuguesa Centro de Estudos de Religiões e Culturas Cardeal Höffner*pt,Centro de Estudos de Religiões e Culturas Cardeal Höffner*pt,CERC*pt,https://ciencia.ucp.pt/pt/organisations/research-centre-for-theology-and-religious-studies-citer,,,,,,,,0000 0004 5927 9798,0000 0004 5927 9798,,,Lisboa,Portugal,2267057,https://ror.org/03b9snr86,"Add as Inactive, succeeded by (https://ror.org/00zgs5r70)"
,https://ror.org/04rnk9665,Centro de Ética Económica e Empresarial*pt,active,education,Universidade Católica Portuguesa Centro de Ética Económica e Empresarial*pt,Centro de Ética Económica e Empresarial*pt,CEBE*pt,https://www.clsbe.lisboa.ucp.pt/pt-pt/center-ethics-business-and-economics/center-ethics-business-and-economics,,,,,,,,0000 0004 6439 8062,0000 0004 6439 8062,,,Lisboa,Portugal,2267057,https://ror.org/03b9snr86,
,https://ror.org/016z31q49,Centro de Investigação Interdisciplinar em Saúde Centro Regional de Viseu*pt,active,education,Universidade Católica Portuguesa Centro de Investigação Interdisciplinar em Saúde Centro Regional de Viseu*pt,Centro de Investigação Interdisciplinar em Saúde Centro Regional de Viseu*pt; Center for Ethics in Business and Economics*en,,,,,,,,,,0000 0005 1091 1040,0000 0005 1091 1040,,,Viseu,Portugal,2732264,https://ror.org/03b9snr86,
,https://ror.org/05acdb150,Centro de Investigação Interdisciplinar em Saúde Centro Regional do Porto*pt,active,education,Universidade Católica Portuguesa Centro de Investigação Interdisciplinar em Saúde Centro Regional do Porto*pt,Centro de Investigação Interdisciplinar em Saúde Centro Regional do Porto*pt,,,,,,,,,,0000 0005 1091 1008,0000 0005 1091 1008,,,Porto,Portugal,2735943,https://ror.org/03b9snr86,
,https://ror.org/03wcn8b34,Unidade de Investigação em Gestão e Economia*pt,active,education,Universidade Católica Portuguesa Unidade de Investigação em Gestão e Economia*pt,Unidade de Investigação em Gestão e Economia*pt; CATÓLICA-LISBON Research Unit in Business and Economics*en,CUBE*pt,https://clsbe.lisboa.ucp.pt/research/about-cube,,,,,,,,0000 0004 5896 1648,0000 0004 5896 1648,,,Lisboa,Portugal,2267057,https://ror.org/03b9snr86,
,https://ror.org/0525jbb43,Centro de Tecnologia da Linguagem Humana e Bioinformática*pt,active,education,Universidade da Beira Interior Centro de Tecnologia da Linguagem Humana e Bioinformática*pt,Centro de Tecnologia da Linguagem Humana e Bioinformática*pt; Center for Human Language Technology and Bioinformatics*en,HULTIG*pt,https://hultig.ubi.pt,,hultig.ubi.pt,,,,,,0000 0004 6416 4901,0000 0004 6416 4901,,,Covilhã,Portugal,2740313,https://ror.org/03nf36p02,
,https://ror.org/04ycf0k71,Centro de Ciências Matemáticas*pt,active,education,Universidade da Madeira Centro de Ciências Matemáticas*pt,Centro de Ciências Matemáticas*pt,CCM*pt,http://ccm.uma.pt,,ccm.uma.pt,,,,,,0000 0004 5928 1652,0000 0004 5928 1652,,,Funchal,Portugal,2267827,https://ror.org/0442zbe52,
,https://ror.org/01551d523,Centro de Investigação em Estudos Regionais e Locais*pt,active,education,Universidade da Madeira Centro de Investigação em Estudos Regionais e Locais*pt,Centro de Investigação em Estudos Regionais e Locais*pt,CIERL*pt,https://cierl.uma.pt,,cierl.uma.pt,2007,,,,,0000 0004 6413 8957,0000 0004 6413 8957,,,Funchal,Portugal,2267827,https://ror.org/0442zbe52,
,https://ror.org/01tgdcv71,Centro de Química da Madeira*pt,active,education,Universidade da Madeira Centro de Química da Madeira*pt,Centro de Química da Madeira*pt; Madeira Chemistry Research Centre*en,CQM*pt,https://cqm.uma.pt,,cqm.uma.pt,,,,,,0000 0004 4903 245X,0000 0004 4903 245X,,,Funchal,Portugal,2267827,https://ror.org/0442zbe52,
,https://ror.org/01hbpef95,Grupo de Astronomia*pt,active,education,Universidade da Madeira Grupo de Astronomia*pt,Grupo de Astronomia*pt,GAUMa*pt,https://astro.web.uma.pt/Grupo/index.htm,,,,,,,,0000 0004 6471 8118,0000 0004 6471 8118,,,Funchal,Portugal,2267827,https://ror.org/0442zbe52,
,https://ror.org/02c4ps936,ISOPlexis Banco de Germoplasma*pt,active,education,Universidade da Madeira ISOPlexis Banco de Germoplasma*pt,ISOPlexis Banco de Germoplasma*pt,,https://isoplexis.uma.pt/gringlobal/search.aspx,,,,,,,,0000 0004 5928 1628,0000 0004 5928 1628,,,Funchal,Portugal,2267827,https://ror.org/0442zbe52,
,https://ror.org/00wx08c65,Associação para a Formação Profissional e Investigação*pt,active,education,Universidade de Aveiro Associação para a Formação Profissional e Investigação*pt,Associação para a Formação Profissional e Investigação*pt,UNAVE*pt,https://www.unave.pt,,unave.pt,,,,,,0000 0005 1089 1860,0000 0005 1089 1860,,,Aveiro,Portugal,2742611,https://ror.org/00nt41z93,
