html_url,id,names.types.ror_display,status,types,names.types.alias,names.types.label,names.types.acronym,links.type.website,links.type.wikipedia,domains,established,external_ids.type.fundref.all,external_ids.type.fundref.preferred,external_ids.type.grid.all,external_ids.type.grid.preferred,external_ids.type.isni.all,external_ids.type.isni.preferred,external_ids.type.wikidata.all,external_ids.type.wikidata.preferred,city,country,locations.geonames_id,
https://github.com/ror-community/ror-updates/issues/23011,https://ror.org/024c12b08,Government College Asghar Mall Rawalpindi*en,active,education,Govt Graduate college Asghar Mall Rawalpindi*en; Government Post Graduate College*en; Sanatan Dharma High School*en,Government College Asghar Mall Rawalpindi*en; گورنمنٹ گریجوئیٹ کالج اصغر مال، راولپنڈی*ur,,,https://en.wikipedia.org/wiki/Government_College_Asghar_Mall_Rawalpindi,hep.punjab.gov.pk; gpgcam.edu.pk,1913,,,,,,,Q5588720,Q5588720,Rawalpindi,Pakistan,1166993,
https://github.com/ror-community/ror-updates/issues/23029,https://ror.org/040g1y854,Guangdong Laboratory of Artificial Intelligence and Digital Economy (Shenzhen)*en,active,facility,光明实验室*zh; Guangming Laboratory*en,Guangdong Laboratory of Artificial Intelligence and Digital Economy (Shenzhen)*en; 人工智能与数字经济广东省实验室（深圳)*zh,,https://www.gml.ac.cn,,gml.ac.cn,2021,,,,,,,,,"Guangming, Shenzhen, Guangdong Province",China,11876377,
https://github.com/ror-community/ror-updates/issues/23031,https://ror.org/022dbf076,Springboro High School*en,active,education,Springboro City Schools*en; Springboro Schools*en,Springboro High School*en,SHS*en,https://www.springboro.org,https://en.wikipedia.org/wiki/Springboro_High_School,springboro.org,1893,,,,,0000 0004 1279 8443,0000 0004 1279 8443,Q7580812,Q7580812,Springboro,United States,4525304,
https://github.com/ror-community/ror-updates/issues/24075,https://ror.org/00fc2ss05,Badlands National Park*en,active,archive,Badlands NP*en,Badlands National Park*en; Parque nacional Badlands*es,,https://nps.gov/badl,https://en.wikipedia.org/wiki/Badlands_National_Park,,1939,,,,,,,Q306216,Q306216,Badlands National Park,United States,5762546,
https://github.com/ror-community/ror-updates/issues/24076,https://ror.org/05w1d5z06,Keweenaw Bay Indian Community*en,active,government,Keweenaw Bay Indian Community of the L'Anse and Ontonagon Bands of Chippewa Indians*en; L'Anse Indian Reservation*en,Keweenaw Bay Indian Community*en; Gakiiwe'onaning*oj,KBIC*en,https://www.kbic-nsn.gov,https://fy.wikipedia.org/wiki/Keweenaw_Bay_Yndianemienskip_fan_de_L%27Anse_en_Ontonagon_Troepen_fan_Tsjippewa_Yndianen,kbic-nsn.gov,,,,,,,,Q27825724,Q27825724,Baraga,United States,4984902,
https://github.com/ror-community/ror-updates/issues/24081,https://ror.org/0249qtc86,Tanzania Institute of Accountancy*en,active,education,,Tanzania Institute of Accountancy*en,TIA*en,https://www.tia.ac.tz,,tia.ac.tz,2002,,,,,0000 0004 4665 4448,0000 0004 4665 4448,Q66424102,Q66424102,Dar es Salaam,Tanzania,160263,
https://github.com/ror-community/ror-updates/issues/24084,https://ror.org/04xqc3e23,Northwestern Mindanao State College of Science and Technology*en,active,education,University of Northwestern Mindanao*en; Tangub Agro-Industrial School*en,Northwestern Mindanao State College of Science and Technology*en; Kolehiyong Pampamahalaan sa Agham at Teknolohiya ng Hilaga-Kanluraning Mindanao*tl,UNM*en,https://www.nmsc.edu.ph,https://en.wikipedia.org/wiki/Northwestern_Mindanao_State_College_of_Science_and_Technology,nmsc.edu.ph,1971,,,,,,,Q7060346,Q7060346,Tangub,Philippines,1683116,
https://github.com/ror-community/ror-updates/issues/24058,https://ror.org/00z7xz780,Ministry of Internal Affairs of the Republic of Kazakhstan*en,active,government,Ministry of Internal Affairs of Kazakhstan*en,Ministry of Internal Affairs of the Republic of Kazakhstan*en; Қазақстан Республикасы Ішкі істер министрлігі*kk; Министерство внутренних дел Республики Казахстан*ru,,https://www.gov.kz/memleket/entities/qriim,https://en.wikipedia.org/wiki/Ministry_of_Internal_Affairs_%28Kazakhstan%29,mvd.gov.kz,1992,,,,,0000 0004 4908 249X,0000 0004 4908 249X,Q1620994,Q1620994,Astana,Kazakhstan,1526273,
https://github.com/ror-community/ror-updates/issues/23034,https://ror.org/01vy7ep52,Academy of the National Guard of the Republic of Kazakhstan*en,active,education,Қазақстан Республикасы Ұлттық ұланының Әскери институты*kk; Военный институт Национальной гвардии Республики Казахстан*ru; Қазақстан Республикасы Ішкі істер министрі Ішкі әскерлерінің Жоғары әскери училищесі*kk; Қазақстан Республикасы Ішкі істер министрі Ішкі әскерлерінің Әскери институты*kk; Петропавловское Высшее военное училище Внутренних войск Министерства внутренних дел Республики Казахстан*ru; Военный институт Внутренних войск Министерства внутренних дел Республики Казахстан*ru,Academy of the National Guard of the Republic of Kazakhstan*en; Академия Национальной гвардии Республики Казахстан*ru; Қазақстан Республикасы Ұлттық Ұланның Академиясы*kk,ANG RK*en; АНГ РК*ru; ҚР ҰҰА*kk,https://www.ang.edu.kz,https://kk.wikipedia.org/wiki/%D2%9A%D0%B0%D0%B7%D0%B0%D2%9B%D1%81%D1%82%D0%B0%D0%BD_%D0%A0%D0%B5%D1%81%D0%BF%D1%83%D0%B1%D0%BB%D0%B8%D0%BA%D0%B0%D1%81%D1%8B_%D2%B0%D0%BB%D1%82%D1%82%D1%8B%D2%9B_%D2%B1%D0%BB%D0%B0%D0%BD%D1%8B%D0%BD%D1%8B%D2%A3_%D0%90%D0%BA%D0%B0%D0%B4%D0%B5%D0%BC%D0%B8%D1%8F%D1%81%D1%8B,ang.edu.kz,1997,,,,,0000 0005 2783 2541,0000 0005 2783 2541,Q31194976,Q31194976,Petropavlovsk,Republic of Kazakhstan,1520172,
https://github.com/ror-community/ror-updates/issues/23037,https://ror.org/00k0pfp21,Maharaja Agrasen Himalayan Garhwal University*en,active,education,,Maharaja Agrasen Himalayan Garhwal University*en,MAHGU*en,https://www.hgu.ac.in,https://en.wikipedia.org/wiki/Maharaja_Agrasen_Himalayan_Garhwal_University,hgu.ac.in,2016,,,,,,,Q55394452,Q55394452,Pauri,India,12682591,
https://github.com/ror-community/ror-updates/issues/23039,https://ror.org/03cdjre93,Institute of Hydrogeology and Engineering Geology*en,active,government,Institute of HYDROENGEO*en; HYDROENGEO*en; Gidrogeologiya va injenerlik geologiyasi instituti*uz; Институт гидрогеологии и инженерной геологии*ru,Institute of Hydrogeology and Engineering Geology*en; State Establishment “Institute of Hydrogeology and Engineering Geology”*en; “Gidrogeologiya va injenerlik geologiyasi instituti” davlat muassasasi*uz; Государственное учреждение «Институт гидрогеологии и инженерной геологии»*ru,,https://hydroengeo.uz,,hydroengeo.uz,1960,,,,,,,,,Tashkent,Uzbekistan,1512569,
https://github.com/ror-community/ror-updates/issues/23041,https://ror.org/03shjds31,KNCV TB Plus*en,active,nonprofit; funder,KNCV Tuberculosis Foundation*en; KNCV Tuberculosefonds*nl,KNCV TB Plus*en,KNCV*en,https://www.kncvtbplus.com,,kncvtbc.org; kncvtbplus.com,1903,100008698,100008698,,,0000 0004 0465 7544,0000 0004 0465 7544,Q110069513,Q110069513,The Hague,Netherlands,2747373,
https://github.com/ror-community/ror-updates/issues/23040,https://ror.org/0240bsv43,SIMEC Institute of Technology*en,active,education,,SIMEC Institute of Technology*en,,https://simecinstitute.edu.bd,,simecinstitute.edu.bd,2018,,,,,,,,,Dhaka,Bangladesh,1185241,
https://github.com/ror-community/ror-updates/issues/23064,https://ror.org/044133t28,Akademi Teknik Elektromedik Andakara*en,active,education,ATEM Andakara*en,Akademi Teknik Elektromedik Andakara*en,,https://atemandakara.ac.id,,atemandakara.ac.id,1988,,,,,,,Q109922578,Q109922578,Bekasi,Indonesia,6599302,
