html_url,id,names.types.ror_display,status,types,names.types.alias,names.types.label,,names.types.acronym,links.type.website,links.type.wikipedia,domains,established,external_ids.type.fundref.all,external_ids.type.fundref.preferred,external_ids.type.grid.all,external_ids.type.grid.preferred,external_ids.type.isni.all,external_ids.type.isni.preferred,external_ids.type.wikidata.all,external_ids.type.wikidata.preferred,city,country,locations.geonames_id,parent_relationships,related_relationships,successor_relationships
,https://ror.org/027fb8k30,Atelier de Lisboa (Portugal),active,company,,Atelier de Lisboa;Atelier de Lisboa (Portugal); Atelier of Lisbon,,,https://atelierdelisboa.pt,,atelierdelisboa.pt,,,,,,0000 0004 9340 0491,0000 0004 9340 0491,,,Lisboa,Portugal,2267057,,,
,https://ror.org/01t7shc19,Atena Equity Partners (Portugal),active,company,,Atena Equity Partners SCR SA; Atena Equity Partners;Atena Equity Partners (Portugal),,,https://www.atenaep.com,,atenaep.com,,,,,,0000 0004 7862 7620,0000 0004 7862 7620,,,Lisboa,Portugal,2267057,,,
,https://ror.org/03b554061,Atlantik Fish (Portugal),active,company,,Atlantik Fish (Portugal),,,https://www.atlantikfish.com,,atlantikfish.com,,,,,,0000 0005 0840 3565,0000 0005 0840 3565,,,Faro,Portugal,2268337,,,
,https://ror.org/05vwew660,Atomedical Laboratório de Medicina Nuclear (Portugal),active,company,,Atomedical Laboratório de Medicina Nuclear;Atomedical Laboratório de Medicina Nuclear (Portugal); Atomedical Nuclear Medicine Laboratory,,,https://www.atomedical.pt,,atomedical.pt,,,,,,0000 0004 6364 7514,0000 0004 6364 7514,,,Lisboa,Portugal,2267057,,,
,https://ror.org/01qtksf33,AtralCipan (Portugal),active,company,,AtralCipan;AtralCipan (Portugal),,,https://www.atral.pt,,atral.pt,,,,,,0000 0000 8766 7334,0000 0000 8766 7334,,,Castanheira do Ribatejo,Portugal,2269556,,,
,https://ror.org/05rgdc794,Banco Santander (Portugal),active,company,,Banco Santander (Portugal); Banco Santander Portugal; Santander Portugal Bank,,,https://www.santander.pt,,santander.pt,,,,,,0000 0004 0632 0312,0000 0004 0632 0312,,,Lisboa,Portugal,2267057,https://ror.org/017d1hs72,,
,https://ror.org/00zec5297,Bayer (Portugal),active,company,,Bayer Portugal SA;Bayer (Portugal),,,https://www.bayer.com/pt/pt/portugal-home,,,,,,,,0000 0004 0370 8354,0000 0004 0370 8354,,,Carnaxide,Portugal,2270157,https://ror.org/04hmn8g73,,
,https://ror.org/057mkdb21,Biogen (Portugal),active,company,,Biogen (Portugal),,,https://www.biogen.pt,,biogen.pt,,,,,,0000 0004 0631 983X,0000 0004 0631 983X,,,Lisboa,Portugal,2267057,https://ror.org/02jqkb192,,
,https://ror.org/047yy2056,Biosurfit (Portugal),active,company,,"Biosurfit (Portugal);Biosurfit, S.A.",,,https://www.biosurfit.com,,biosurfit.com,,,,,,0000 0004 0509 1597,0000 0004 0509 1597,,,Lisboa,Portugal,2267057,,,
,https://ror.org/057r2zn69,Biotronik (Portugal),active,company,,Biotronik (Portugal),,,https://www.biotronik.com/pt-pt,,,,,,,,0000 0004 4685 9611,0000 0004 4685 9611,,,Lisboa,Portugal,2267057,https://ror.org/04gmdfj30,,
,https://ror.org/0059w6r63,Bloom Up (Portugal),active,company,,Bloom Up (Portugal),,,https://www.bloom.pt,,bloom.pt,,,,,,0000 0004 0516 4434,0000 0004 0516 4434,,,Oeiras,Portugal,2265464,,,
,https://ror.org/04kdvm687,Blue Geo Lighthouse (Portugal),active,company,,Blue Geo Lighthouse (Portugal),,,https://www.bigle.pt,,bigle.pt,,,,,,0000 0005 0840 3629,0000 0005 0840 3629,,,Funchal,Portugal,2267827,,,
,https://ror.org/01fhrjq14,blueCAPE (Portugal),active,company,,blueCAPE;blueCAPE (Portugal),,,https://joomla.bluecape.com.pt,,joomla.bluecape.com.pt,,,,,,0000 0004 6410 7878,0000 0004 6410 7878,,,Milharado,Portugal,2266411,,,
,https://ror.org/02vxrsd04,Bluepharma (Portugal),active,company,,Bluepharm;Bluepharma (Portugal),,,https://www.bluepharmagroup.com,,bluepharmagroup.com,,,,,,0000 0004 6879 6367,0000 0004 6879 6367,,,Coimbra,Portugal,2740637,,,
,https://ror.org/01ns4zj17,Behavioral and Molecular Lab (Portugal),active,company,,Behavioral and Molecular Lab (Portugal),,BnML*en,https://www.bnml.eu,,bnml.eu,,,,,,0000 0004 6410 7886,0000 0004 6410 7886,,,Braga,Portugal,2742032,,,
,https://ror.org/05d442434,Bondalti (Portugal),active,company,,Bondalti (Portugal),,,https://www.bondalti.com,,bondalti.com,,,,,,0000 0004 9340 3297,0000 0004 9340 3297,,,Lisboa,Portugal,2267057,,,
,https://ror.org/01zvj7w48,Bonera Group (Portugal),active,company,,Bonera Group;Bonera Group (Portugal),,,https://www.bonera-group.com,,bonera-group.com,,,,,,0000 0005 0840 3717,0000 0005 0840 3717,,,Aveiro,Portugal,2742611,,,
,https://ror.org/05y3vhx59,Brainanswer (Portugal),active,company,,Brainanswer (Portugal),,,https://brainanswer.pt,,brainanswer.pt,,,,,,0000 0005 1081 0928,0000 0005 1081 0928,,,Castelo Branco,Portugal,2269513,,,
,https://ror.org/0223rpe14,Bristol-Myers Squibb (Portugal),active,company,,Bristol-Myers Squibb (Portugal);Bristol-Myers Squibb Farmacêutica Portuguesa SA,,,https://www.bms.com/pt,,,,,,,,0000 0004 6007 7683,0000 0004 6007 7683,,,Paço de Arcos,Portugal,2265326,https://ror.org/00gtmwv55,,
,https://ror.org/02gdy0611,Building Global Innovators (Portugal),active,company,,"Building Global Innovators (Portugal);Building Global Innovators, S.A.",,BGI*en,https://www.bgi.pt,,bgi.pt,,,,,,0000 0004 9339 9718,0000 0004 9339 9718,,,Lisboa,Portugal,2267057,,,
,https://ror.org/017sdcr35,Cabopol Polymer Compounds (Portugal),active,company,,"Cabopol Polymer Compounds (Portugal);Cabopol Polymer Compounds, S.A.",,,https://cabopol.com,,cabopol.com,,,,,,0000 0004 6489 3522,0000 0004 6489 3522,,,Porto de Mós,Portugal,2264427,,,
,https://ror.org/032r98v39,Caetano de Freitas & Associados (Portugal),active,company,,Caetano de Freitas & Associados;Caetano de Freitas & Associados (Portugal); Caetano de Freitas & Partners,,,https://caetanodefreitas.com,,caetanodefreitas.com,,,,,,0000 0004 7414 6563,0000 0004 7414 6563,,,Lisboa,Portugal,2267057,,,
,https://ror.org/03sssya70,CAETSU TWO (Portugal),active,company,,CAETSU TWO;CAETSU TWO (Portugal),,,https://caetsutwo.com,,caetsutwo.com,,,,,,0000 0005 0940 1668,0000 0005 0940 1668,,,Lisboa,Portugal,2267057,,,
,https://ror.org/003fvp188,Caixa Geral de Depositos (Portugal),active,company,,Caixa Geral de Depositos;Caixa Geral de Depositos (Portugal),,,https://www.cgd.pt,,cgd.pt,,,,,,0000 0001 2288 6728,0000 0001 2288 6728,,,Lisboa,Portugal,2267057,,,
,https://ror.org/04fjf3434,Carlos Pinto de Abreu e Associados (Portugal),active,company,,Carlos Pinto de Abreu e Associados;Carlos Pinto de Abreu e Associados (Portugal); Carlos Pinto de Abreu and Associates,,,https://carlospintodeabreu.com,,carlospintodeabreu.com,,,,,,0000 0004 5938 7406,0000 0004 5938 7406,,,Lisboa,Portugal,2267057,,,
,https://ror.org/014er2a73,CBRAIN Group,active,company,CBRAIN Group,CBRAIN Group,,,https://cbraingroup.com,,cbraingroup.com,,,,,,0000 0004 6410 7990,0000 0004 6410 7990,,,Coimbra,Portugal,2740637,,,
,https://ror.org/04fk8gw96,Centro de Medicina Laboratorial Germano de Sousa (Portugal)*pt,active,facility,,Centro de Medicina Laboratorial Germano de Sousa*pt; Germano de Sousa Centre for Laboratory Medicine*en,,,https://www.germanodesousa.com,,germanodesousa.com,,,,,,0000 0005 0832 0786,0000 0005 0832 0786,,,Lisboa,Portugal,2267057,,,
,https://ror.org/01ffz3y94,Centro de Oncologia dos Açores*pt,active,facility,,Centro de Oncologia dos Açores*pt; Azores Oncology Center*en,,COA*pt,https://portal.azores.gov.pt/web/coa,,,,,,,,0000 0005 1090 1221,0000 0005 1090 1221,,,Angra Do Heroísmo,Portugal,3373348,https://ror.org/049zrp193,,
