html_url,id,names.types.ror_display,status,types,names.types.alias,names.types.label,names.types.acronym,links.type.website,links.type.wikipedia,domains,established,external_ids.type.fundref.all,external_ids.type.fundref.preferred,external_ids.type.grid.all,external_ids.type.grid.preferred,external_ids.type.isni.all,external_ids.type.isni.preferred,external_ids.type.wikidata.all,external_ids.type.wikidata.preferred,city,country,locations.geonames_id,NID,_decision,_reason,_matched_keyword
,https://ror.org/05kp93586,Korean Society of Medical Education*en,active,other,,Korean Society of Medical Education*en,,https://www.ksmed.or.kr,,ksmed.or.kr,,,,,,,,,,Seoul,"Korea, Republic of",1835848,,keep,keyword:keep,society
,https://ror.org/03dfy6j52,Pakistan Society of Internal Medicine*en,active,other,,Pakistan Society of Internal Medicine*en,,https://www.psim.org.pk,,psim.org.pk,,,,,,,,,,Lahore,Pakistan,1172451,,keep,keyword:keep,society
,https://ror.org/049edxs19,Society for Science and Nature*en,active,other,,Society for Science and Nature*en,,https://ssnb.org.in,,ssnb.org.in,,,,,,,,,,Bhopal,India,1275841,,keep,keyword:keep,society
,https://ror.org/02f8bpw77,Korean Society of Nursing Science*en,active,other,,Korean Society of Nursing Science*en,,https://www.kan.or.kr,,kan.or.kr,,,,,,,,,,Seoul,"Korea, Republic of",1835848,,keep,keyword:keep,society
,https://ror.org/039zake82,Perhimpunan Dokter Paru Indonesia*ms,active,other,The Indonesian Society of Respirology*en;Indonesian Society of Respirology*en,Perhimpunan Dokter Paru Indonesia*ms,,https://klikpdpi.id,,klikpdpi.id,,,,,,,,,,Jakarta Timur,Indonesia,1622552,,keep,keyword:keep,perhimpunan
,https://ror.org/011fyah69,Korean College of Rheumatology*en,active,other,The Korean Rheumatism Association*en;The Korean Rheumatism Association (KAMJE)*en,Korean College of Rheumatology*en,,https://rheum.or.kr,,rheum.or.kr,,,,,,,,,,Yongsan-gu,"Korea, Republic of",6800487,,keep,keyword:keep,association
,https://ror.org/03nn82k06,Indian Dairy Association*en,active,other,,Indian Dairy Association*en,,https://indiandairyassociation.org,,indiandairyassociation.org,,,,,,,,,,New Delhi,India,1261481,,keep,keyword:keep,association
,https://ror.org/04qkr3341,The Aeronautical Society of India*en,active,other,Aeronautical Society of India*en,The Aeronautical Society of India*en,,https://www.aerosocietyindia.co.in,,aerosocietyindia.co.in,,,,,,,,,,Bangalore,India,1277333,,keep,keyword:keep,society
,https://ror.org/02nq4tw74,The Korean Society of Anesthesiologists*en,active,other,Korean Society of Anesthesiologists*en,The Korean Society of Anesthesiologists*en;대한마취통증의학회*ko,,https://anesthesia.or.kr,,anesthesia.or.kr,,,,,,,,,,Seoul,"Korea, Republic of",1835848,,keep,keyword:keep,society
,https://ror.org/05q50sg58,Environmental and Engineering Geophysical Society*en,active,other,,Environmental and Engineering Geophysical Society*en,,https://eegs.org,,eegs.org,,,,,,,,,,Denver,United States,5419384,,keep,keyword:keep,society
,https://ror.org/040fabh48,"Asocijacija Informacijskih Stručnjaka: Bibliotekara, Arhivista i Muzeologa - BAM*hr",active,other,"Asocijacija Informacijskih Strucnjaka: Bibliotekara, Arhivista i Muzeologa - BAM*bs","Asocijacija Informacijskih Stručnjaka: Bibliotekara, Arhivista i Muzeologa - BAM*hr",,https://bam.ba,,bam.ba,,,,,,,,,,Sarajevo,Bosnia and Herzegovina,3191281,,keep,keyword:keep,asocijacija
,https://ror.org/04281xg46,Indian Potato Association*en,active,other,,Indian Potato Association*en,,https://www.ipashimla.org,,ipashimla.org,,,,,,,,,,Shimla,India,1256237,,keep,keyword:keep,association
,https://ror.org/04v003g76,Entomological Society of Washington*en,active,other,,Entomological Society of Washington*en,,https://www.entsocwash.org,,entsocwash.org,,,,,,,,,,Washington,United States,4140963,,keep,keyword:keep,society
,https://ror.org/024t2z470,The Society of Laparoscopic and Robotic Surgeons*en,active,other,The Society of Laparoendoscopic Surgeons*en;Society of Laparoscopic and Robotic Surgeons*en,The Society of Laparoscopic and Robotic Surgeons*en,,https://www.sls.org,,sls.org,,,,,,,,,,Miami,United States,4164138,,keep,keyword:keep,society
,https://ror.org/015f5w721,Photonics Society of Poland*en,active,other,,Photonics Society of Poland*en,,https://www.photonics.pl,,photonics.pl,,,,,,,,,,Warsaw,Poland,756135,,keep,keyword:keep,society
,https://ror.org/05737eh60,International Association for Food Protection*en,active,other,,International Association for Food Protection*en,,https://www.foodprotection.org,,foodprotection.org,,,,,,,,,,Des Moines,United States,4853828,,keep,keyword:keep,association
,https://ror.org/00dzkdj68,Australian Music Therapy Association Inc*en,active,other,Australian Music Therapy Association*en,Australian Music Therapy Association Inc*en,,https://www.austmta.org.au,,austmta.org.au,,,,,,,,,,Beaumaris,Australia,2176487,,keep,keyword:keep,association
,https://ror.org/0453x9z68,The Korean Society for Plant Biotechnology*en,active,other,Korean Society for Plant Biotechnology*en,The Korean Society for Plant Biotechnology*en,,https://www.kspbt.or.kr,,kspbt.or.kr,,,,,,,,,,Daejeon,"Korea, Republic of",1835235,,keep,keyword:keep,society
,https://ror.org/01wnqf515,Asociación para la Investigación en la Discapacidad Motriz*es,active,other,Association for Research in Motor Handicap*en;Asociacion para la Investigacion en la Discapacidad Motriz*es,Asociación para la Investigación en la Discapacidad Motriz*es,AIDIMO,https://aidimo.org,,aidimo.org,,,,,,,,,,Zaragoza,Spain,3104324,,keep,keyword:keep,association
,https://ror.org/000tfs261,Asian Fisheries Society*en,active,other,,Asian Fisheries Society*en,,https://www.asianfisheriessociety.org,,asianfisheriessociety.org,,,,,,,,,,UPM Serdang,Malaysia,1744246,,keep,keyword:keep,society
,https://ror.org/05dp6fp59,Sports Sciences Association*en,active,other,Spor Bilimleri Derneği*tr;Spor Bilimleri Dernegi*tr,Sports Sciences Association*en,,https://sporbilimleri.org.tr,,sporbilimleri.org.tr,,,,,,,,,,Cankaya,Türkiye,6955677,,keep,keyword:keep,association
,https://ror.org/00c5gyj58,Marketing Management Association*en,active,other,,Marketing Management Association*en,,https://www.mmaglobal.org,,mmaglobal.org,,,,,,,,,,DeKalb,United States,4889553,,keep,keyword:keep,association
,https://ror.org/036vzp831,Polish Scientific Society of Combustion Engines*en,active,other,Polskie Towarzystwo Naukowe Silnikow Spalinowych*pl,Polish Scientific Society of Combustion Engines*en,,https://ptnss.pl,,ptnss.pl,,,,,,,,,,Poznan,Poland,3088171,,keep,keyword:keep,towarzystwo
