ror_id,field,change
https://ror.org/02smred28,admin,"{'last_modified': {'date': ['2024-12-11', '2025-05-01']}}"
https://ror.org/02smred28,external_ids,"{insert: [(0, {'all': ['100022898'], 'preferred': '100022898', 'type': 'fundref'})]}"
https://ror.org/05n2cz176,admin,"{'last_modified': {'date': ['2024-12-11', '2025-05-01']}}"
https://ror.org/05n2cz176,external_ids,"{insert: [(0, {'all': ['100022870'], 'preferred': '100022870', 'type': 'fundref'})]}"
https://ror.org/00fc5q271,admin,"{'last_modified': {'date': ['2024-12-11', '2025-05-01']}}"
https://ror.org/00fc5q271,external_ids,"[[], [{'all': ['501100011578'], 'preferred': '501100011578', 'type': 'fundref'}]]"
https://ror.org/03kaab451,admin,"{'last_modified': {'date': ['2025-04-28', '2025-05-01']}}"
https://ror.org/03kaab451,external_ids,"{insert: [(0, {'all': ['501100016282'], 'preferred': '501100016282', 'type': 'fundref'})]}"
https://ror.org/00377k374,admin,"{'last_modified': {'date': ['2024-12-11', '2025-05-01']}}"
https://ror.org/00377k374,external_ids,"{insert: [(0, {'all': ['501100023475'], 'preferred': '501100023475', 'type': 'fundref'})]}"
https://ror.org/048cwvf49,admin,"{'last_modified': {'date': ['2024-12-11', '2025-05-01']}}"
https://ror.org/048cwvf49,external_ids,"{0: {'all': {insert: [(1, '501100023441')]}}}"
https://ror.org/032000t02,admin,"{'last_modified': {'date': ['2024-12-11', '2025-05-01']}}"
https://ror.org/032000t02,external_ids,"{0: {'all': {insert: [(1, '501100013812'), (2, '501100019218')]}}}"
https://ror.org/02bfwt286,admin,"{'last_modified': {'date': ['2024-12-11', '2025-05-01']}}"
https://ror.org/02bfwt286,external_ids,"{0: {'all': {insert: [(6, '501100011670'), (7, '501100020821')]}}}"
https://ror.org/006c8a128,admin,"{'last_modified': {'date': ['2024-12-11', '2025-05-01']}}"
https://ror.org/006c8a128,external_ids,"{insert: [(0, {'all': ['501100007749'], 'preferred': None, 'type': 'fundref'})]}"
https://ror.org/05ynxx418,admin,"{'last_modified': {'date': ['2025-02-26', '2025-05-01']}}"
https://ror.org/05ynxx418,external_ids,"{0: {'all': {insert: [(2, '501100010752')]}}}"
https://ror.org/04m5j1k67,admin,"{'last_modified': {'date': ['2024-12-11', '2025-05-01']}}"
https://ror.org/04m5j1k67,external_ids,"{0: {'all': {insert: [(1, '501100022232')]}}}"
https://ror.org/00hj8s172,admin,"{'last_modified': {'date': ['2024-12-11', '2025-05-01']}}"
https://ror.org/00hj8s172,external_ids,"{0: {'all': {insert: [(12, '100013758')]}}}"
https://ror.org/02r1d7x68,admin,"{'last_modified': {'date': ['2024-12-11', '2025-05-01']}}"
https://ror.org/02r1d7x68,external_ids,"{insert: [(0, {'all': ['100017346'], 'preferred': '100017346', 'type': 'fundref'})]}"
https://ror.org/01gy1fk68,admin,"{'last_modified': {'date': ['2025-01-22', '2025-05-01']}}"
https://ror.org/01gy1fk68,external_ids,"{insert: [(0, {'all': ['501100022410'], 'preferred': None, 'type': 'fundref'})]}"
https://ror.org/04cdgtt98,admin,"{'last_modified': {'date': ['2024-12-11', '2025-05-01']}}"
https://ror.org/04cdgtt98,external_ids,"{0: {'all': {insert: [(1, '100018027')]}}}"
https://ror.org/03zmf4s77,admin,"{'last_modified': {'date': ['2024-12-11', '2025-05-01']}}"
https://ror.org/03zmf4s77,external_ids,"{0: {'all': {insert: [(1, '501100020700')]}}}"
https://ror.org/03a62bv60,admin,"{'last_modified': {'date': ['2024-12-11', '2025-05-01']}}"
https://ror.org/03a62bv60,external_ids,"{0: {'all': {insert: [(1, '501100019565')]}}}"
https://ror.org/03angcq70,admin,"{'last_modified': {'date': ['2024-12-11', '2025-05-01']}}"
https://ror.org/03angcq70,external_ids,"{0: {'all': {insert: [(1, '501100020585'), (2, '501100024311')]}}}"
https://ror.org/0535jz951,admin,"{'last_modified': {'date': ['2024-12-11', '2025-05-01']}}"
https://ror.org/0535jz951,external_ids,"{0: {'all': {insert: [(1, '100015682')]}, 'preferred': [None, '100015682']}}"
https://ror.org/019whta54,admin,"{'last_modified': {'date': ['2024-12-11', '2025-05-01']}}"
https://ror.org/019whta54,external_ids,"{0: {'all': {insert: [(1, '501100024021')]}}}"
https://ror.org/03m2x1q45,admin,"{'last_modified': {'date': ['2024-12-11', '2025-05-01']}}"
https://ror.org/03m2x1q45,external_ids,"{0: {'all': {insert: [(7, '100012415'), (8, '100012873'), (9, '100014112'), (10, '100016527'), (11, '100017039'), (12, '100020220')]}}}"
https://ror.org/03vgk3f90,admin,"{'last_modified': {'date': ['2024-12-11', '2025-05-01']}}"
https://ror.org/03vgk3f90,external_ids,"{insert: [(0, {'all': ['100020591'], 'preferred': '100020591', 'type': 'fundref'})]}"
https://ror.org/02smfhw86,admin,"{'last_modified': {'date': ['2024-12-11', '2025-05-01']}}"
https://ror.org/02smfhw86,external_ids,"{0: {'all': {insert: [(4, '100011501'), (5, '100014523'), (6, '100016447'), (7, '100016464'), (8, '100018638')]}}}"
https://ror.org/03jjbp459,admin,"{'last_modified': {'date': ['2024-12-11', '2025-05-01']}}"
https://ror.org/03jjbp459,external_ids,"{insert: [(0, {'all': ['100020452'], 'preferred': '100020452', 'type': 'fundref'})]}"
https://ror.org/043mer456,admin,"{'last_modified': {'date': ['2024-12-11', '2025-05-01']}}"
